name,hp,attack,defense,special-attack,special-defense,speed
gossifleur,40,40,60,40,60,10
eldegoss,60,50,90,80,120,60
wooloo,42,40,55,40,45,48
dubwool,72,80,100,60,90,88
chewtle,50,64,50,38,38,44
drednaw,90,115,90,48,68,74
yamper,59,45,50,40,50,26
boltund,69,90,60,90,60,121
rolycoly,30,40,50,40,50,30
carkol,80,60,90,60,70,50
coalossal,110,80,120,80,90,30
applin,40,40,80,40,40,20
flapple,70,110,80,95,60,70
appletun,110,85,80,100,80,30
silicobra,52,57,75,35,50,46
sandaconda,72,107,125,65,70,71
cramorant,70,85,55,85,95,85
arrokuda,41,63,40,40,30,66
barraskewda,61,123,60,60,50,136
toxel,40,38,35,54,35,40
toxtricity-amped,75,98,70,114,70,75
sizzlipede,50,65,45,50,50,45
centiskorch,100,115,65,90,90,65
clobbopus,50,68,60,50,50,32
grapploct,80,118,90,70,80,42
sinistea,40,45,45,74,54,50
polteageist,60,65,65,134,114,70
hatenna,42,30,45,56,53,39
hattrem,57,40,65,86,73,49
hatterene,57,90,95,136,103,29
impidimp,45,45,30,55,40,50
morgrem,65,60,45,75,55,70
grimmsnarl,95,120,65,95,75,60
obstagoon,93,90,101,60,81,95
perrserker,70,110,100,50,60,50
cursola,60,95,50,145,130,30
sirfetchd,62,135,95,68,82,65
mr-rime,80,85,75,110,100,70
runerigus,58,95,145,50,105,30
milcery,45,40,40,50,61,34
alcremie,65,60,75,110,121,64
falinks,65,100,100,70,60,75
pincurchin,48,101,95,91,85,15
snom,30,25,35,45,30,20
frosmoth,70,65,60,125,90,65
stonjourner,100,125,135,20,20,70
eiscue-ice,75,80,110,65,90,50
indeedee-male,60,65,55,105,95,95
morpeko-full-belly,58,95,58,70,58,97
cufant,72,80,49,40,49,40
copperajah,122,130,69,80,69,30
dracozolt,90,100,90,80,70,75
arctozolt,90,100,90,90,80,55
dracovish,90,90,100,70,80,75
arctovish,90,90,100,80,90,55
duraludon,70,95,115,120,50,85
dreepy,28,60,30,40,30,82
drakloak,68,80,50,60,50,102
dragapult,88,120,75,100,75,142
zacian,92,120,115,80,115,138
zamazenta,92,120,115,80,115,138
eternatus,140,85,95,145,95,130
kubfu,60,90,60,53,50,72
urshifu-single-strike,100,130,100,63,60,97
zarude,105,120,105,70,95,105
regieleki,80,100,50,100,50,200
regidrago,200,100,50,100,50,80
glastrier,100,145,130,65,110,30
spectrier,100,65,60,145,80,130
calyrex,100,80,80,80,80,80
wyrdeer,103,105,72,105,75,65
kleavor,70,135,95,45,70,85
ursaluna,130,140,105,45,80,50
basculegion-male,120,112,65,80,75,78
sneasler,80,130,60,40,80,120
overqwil,85,115,95,65,65,85
enamorus-incarnate,74,115,70,135,80,106
sprigatito,40,61,54,45,45,65
floragato,61,80,63,60,63,83
meowscarada,76,110,70,81,70,123
fuecoco,67,45,59,63,40,36
crocalor,81,55,78,90,58,49
skeledirge,104,75,100,110,75,66
quaxly,55,65,45,50,45,50
quaxwell,70,85,65,65,60,65
quaquaval,85,120,80,85,75,85
lechonk,54,45,40,35,45,35
oinkologne-male,110,100,75,59,80,65
tarountula,35,41,45,29,40,20
spidops,60,79,92,52,86,35
nymble,33,46,40,21,25,45
lokix,71,102,78,52,55,92
pawmi,45,50,20,40,25,60
pawmo,60,75,40,50,40,85
pawmot,70,115,70,70,60,105
tandemaus,50,50,45,40,45,75
maushold-family-of-four,74,75,70,65,75,111
fidough,37,55,70,30,55,65
dachsbun,57,80,115,50,80,95
smoliv,41,35,45,58,51,30
dolliv,52,53,60,78,78,33
arboliva,78,69,90,125,109,39
squawkabilly-green-plumage,82,96,51,45,51,92
nacli,55,55,75,35,35,25
naclstack,60,60,100,35,65,35
garganacl,100,100,130,45,90,35
charcadet,40,50,40,50,40,35
armarouge,85,60,100,125,80,75
ceruledge,75,125,80,60,100,85
tadbulb,61,31,41,59,35,45
bellibolt,109,64,91,103,83,45
wattrel,40,40,35,55,40,70
kilowattrel,70,70,60,105,60,125
maschiff,60,78,60,40,51,51
mabosstiff,80,120,90,60,70,85
shroodle,40,65,35,40,35,75
grafaiai,63,95,65,80,72,110
bramblin,40,65,30,45,35,60
brambleghast,55,115,70,80,70,90
toedscool,40,40,35,50,100,70
toedscruel,80,70,65,80,120,100
klawf,70,100,115,35,55,75
capsakid,50,62,40,62,40,50
scovillain,65,108,65,108,65,75
rellor,41,50,60,31,58,30
rabsca,75,50,85,115,100,45
flittle,30,35,30,55,30,75
espathra,95,60,60,101,60,105
tinkatink,50,45,45,35,64,58
tinkatuff,65,55,55,45,82,78
tinkaton,85,75,77,70,105,94
wiglett,10,55,25,35,25,95
wugtrio,35,100,50,50,70,120
bombirdier,70,103,85,60,85,82
finizen,70,45,40,45,40,75
palafin-zero,100,70,72,53,62,100
varoom,45,70,63,30,45,47
revavroom,80,119,90,54,67,90
cyclizar,70,95,65,85,65,121
orthworm,70,85,145,60,55,65
glimmet,48,35,42,105,60,60
glimmora,83,55,90,130,81,86
greavard,50,61,60,30,55,34
houndstone,72,101,100,50,97,68
flamigo,82,115,74,75,64,90
cetoddle,108,68,45,30,40,43
cetitan,170,113,65,45,55,73
veluza,90,102,73,78,65,70
dondozo,150,100,115,65,65,35
tatsugiri-curly,68,50,60,120,95,82
annihilape,110,115,80,50,90,90
clodsire,130,75,60,45,100,20
farigiraf,120,90,70,110,70,60
dudunsparce-two-segment,125,100,80,85,75,55
kingambit,100,135,120,60,85,50
great-tusk,115,131,131,53,53,87
scream-tail,115,65,99,65,115,111
brute-bonnet,111,127,99,79,99,55
flutter-mane,55,55,55,135,135,135
slither-wing,85,135,79,85,105,81
sandy-shocks,85,81,97,121,85,101
iron-treads,90,112,120,72,70,106
iron-bundle,56,80,114,124,60,136
iron-hands,154,140,108,50,68,50
iron-jugulis,94,80,86,122,80,108
iron-moth,80,70,60,140,110,110
iron-thorns,100,134,110,70,84,72
frigibax,65,75,45,35,45,55
arctibax,90,95,66,45,65,62
baxcalibur,115,145,92,75,86,87
gimmighoul,45,30,70,75,70,10
gholdengo,87,60,95,133,91,84
wo-chien,85,85,100,95,135,70
chien-pao,80,120,80,90,65,135
ting-lu,155,110,125,55,80,45
chi-yu,55,80,80,135,120,100
roaring-moon,105,139,71,55,101,119
iron-valiant,74,130,90,120,60,116
koraidon,100,135,115,85,100,135
miraidon,100,85,100,135,115,135
walking-wake,99,83,91,125,83,109
iron-leaves,90,130,88,70,108,104
dipplin,80,80,110,95,80,40
poltchageist,40,45,45,74,54,50
sinistcha,71,60,106,121,80,70
okidogi,88,128,115,58,86,80
munkidori,88,75,66,130,90,106
fezandipiti,88,91,82,70,125,99
ogerpon,80,120,84,60,96,110
archaludon,90,105,130,125,65,85
hydrapple,106,80,110,120,80,44
gouging-fire,105,115,121,65,93,91
raging-bolt,125,73,91,137,89,75
iron-boulder,90,120,80,68,108,124
iron-crown,90,72,100,122,108,98
terapagos,90,65,85,65,85,60
pecharunt,88,88,160,88,88,88
deoxys-attack,50,180,20,180,20,150
deoxys-defense,50,70,160,70,160,90
deoxys-speed,50,95,90,95,90,180
wormadam-sandy,60,79,105,59,85,36
wormadam-trash,60,69,95,69,95,36
shaymin-sky,100,103,75,120,75,127
giratina-origin,150,120,100,120,100,90
rotom-heat,50,65,107,105,107,86
rotom-wash,50,65,107,105,107,86
rotom-frost,50,65,107,105,107,86
rotom-fan,50,65,107,105,107,86
rotom-mow,50,65,107,105,107,86
castform-sunny,70,70,70,70,70,70
castform-rainy,70,70,70,70,70,70
castform-snowy,70,70,70,70,70,70
basculin-blue-striped,70,92,65,80,55,98
darmanitan-zen,105,30,105,140,105,55
meloetta-pirouette,100,128,90,77,77,128
tornadus-therian,79,100,80,110,90,121
thundurus-therian,79,105,70,145,80,101
landorus-therian,89,145,90,105,80,91
kyurem-black,125,170,100,120,90,95
kyurem-white,125,120,90,170,100,95
keldeo-resolute,91,72,90,129,90,108
meowstic-female,74,48,76,83,81,104
aegislash-blade,60,140,50,140,50,60
pumpkaboo-small,44,66,70,44,55,56
pumpkaboo-large,54,66,70,44,55,46
pumpkaboo-super,59,66,70,44,55,41
gourgeist-small,55,85,122,58,75,99
gourgeist-large,75,95,122,58,75,69
gourgeist-super,85,100,122,58,75,54
venusaur-mega,80,100,123,122,120,80
charizard-mega-x,78,130,111,130,85,100
charizard-mega-y,78,104,78,159,115,100
blastoise-mega,79,103,120,135,115,78
alakazam-mega,55,50,65,175,105,150
gengar-mega,60,65,80,170,95,130
kangaskhan-mega,105,125,100,60,100,100
pinsir-mega,65,155,120,65,90,105
gyarados-mega,95,155,109,70,130,81
aerodactyl-mega,80,135,85,70,95,150
mewtwo-mega-x,106,190,100,154,100,130
mewtwo-mega-y,106,150,70,194,120,140
ampharos-mega,90,95,105,165,110,45
scizor-mega,70,150,140,65,100,75
heracross-mega,80,185,115,40,105,75
houndoom-mega,75,90,90,140,90,115
tyranitar-mega,100,164,150,95,120,71
blaziken-mega,80,160,80,130,80,100
gardevoir-mega,68,85,65,165,135,100
mawile-mega,50,105,125,55,95,50
aggron-mega,70,140,230,60,80,50
medicham-mega,60,100,85,80,85,100
manectric-mega,70,75,80,135,80,135
banette-mega,64,165,75,93,83,75
absol-mega,65,150,60,115,60,115
garchomp-mega,108,170,115,120,95,92
lucario-mega,70,145,88,140,70,112
abomasnow-mega,90,132,105,132,105,30
floette-eternal,74,65,67,125,128,92
latias-mega,80,100,120,140,150,110
latios-mega,80,130,100,160,120,110
swampert-mega,100,150,110,95,110,70
sceptile-mega,70,110,75,145,85,145
sableye-mega,50,85,125,85,115,20
altaria-mega,75,110,110,110,105,80
gallade-mega,68,165,95,65,115,110
audino-mega,103,60,126,80,126,50
sharpedo-mega,70,140,70,110,65,105
slowbro-mega,95,75,180,130,80,30
steelix-mega,75,125,230,55,95,30
pidgeot-mega,83,80,80,135,80,121
glalie-mega,80,120,80,120,80,100
diancie-mega,50,160,110,160,110,110
metagross-mega,80,145,150,105,110,110
kyogre-primal,100,150,90,180,160,90
groudon-primal,100,180,160,150,90,90
rayquaza-mega,105,180,100,180,100,115
pikachu-rock-star,35,55,40,50,50,90
pikachu-belle,35,55,40,50,50,90
pikachu-pop-star,35,55,40,50,50,90
pikachu-phd,35,55,40,50,50,90
pikachu-libre,35,55,40,50,50,90
pikachu-cosplay,35,55,40,50,50,90
hoopa-unbound,80,160,60,170,130,80
camerupt-mega,70,120,100,145,105,20
lopunny-mega,65,136,94,54,96,135
salamence-mega,95,145,130,120,90,120
beedrill-mega,65,150,40,15,80,145
rattata-alola,30,56,35,25,35,72
raticate-alola,75,71,70,40,80,77
raticate-totem-alola,75,71,70,40,80,77
pikachu-original-cap,35,55,40,50,50,90
pikachu-hoenn-cap,35,55,40,50,50,90
pikachu-sinnoh-cap,35,55,40,50,50,90
pikachu-unova-cap,35,55,40,50,50,90
pikachu-kalos-cap,35,55,40,50,50,90
pikachu-alola-cap,35,55,40,50,50,90
raichu-alola,60,85,50,95,85,110
sandshrew-alola,50,75,90,10,35,40
sandslash-alola,75,100,120,25,65,65
vulpix-alola,38,41,40,50,65,65
ninetales-alola,73,67,75,81,100,109
diglett-alola,10,55,30,35,45,90
dugtrio-alola,35,100,60,50,70,110
meowth-alola,40,35,35,50,40,90
persian-alola,65,60,60,75,65,115
geodude-alola,40,80,100,30,30,20
graveler-alola,55,95,115,45,45,35
golem-alola,80,120,130,55,65,45
grimer-alola,80,80,50,40,50,25
muk-alola,105,105,75,65,100,50
exeggutor-alola,95,105,85,125,75,45
marowak-alola,60,80,110,50,80,45
greninja-battle-bond,72,95,67,103,71,122
greninja-ash,72,145,67,153,71,132
zygarde-10-power-construct,54,100,71,61,85,115
zygarde-50-power-construct,108,100,121,81,95,95
zygarde-complete,216,100,121,91,95,85
gumshoos-totem,88,110,60,55,60,45
vikavolt-totem,77,70,90,145,75,43
oricorio-pom-pom,75,70,70,98,70,93
oricorio-pau,75,70,70,98,70,93
oricorio-sensu,75,70,70,98,70,93
lycanroc-midnight,85,115,75,55,75,82
wishiwashi-school,45,140,130,140,135,30
lurantis-totem,70,105,90,80,90,45
salazzle-totem,68,64,60,111,60,117
minior-orange-meteor,60,60,100,60,100,60
minior-yellow-meteor,60,60,100,60,100,60
minior-green-meteor,60,60,100,60,100,60
minior-blue-meteor,60,60,100,60,100,60
minior-indigo-meteor,60,60,100,60,100,60
minior-violet-meteor,60,60,100,60,100,60
minior-red,60,100,60,100,60,120
minior-orange,60,100,60,100,60,120
minior-yellow,60,100,60,100,60,120
minior-green,60,100,60,100,60,120
minior-blue,60,100,60,100,60,120
minior-indigo,60,100,60,100,60,120
minior-violet,60,100,60,100,60,120
mimikyu-busted,55,90,80,50,105,96
mimikyu-totem-disguised,55,90,80,50,105,96
mimikyu-totem-busted,55,90,80,50,105,96
kommo-o-totem,75,110,125,100,105,85
magearna-original,80,95,115,130,115,65
pikachu-partner-cap,35,55,40,50,50,90
marowak-totem,60,80,110,50,80,45
ribombee-totem,60,55,60,95,70,124
rockruff-own-tempo,45,65,40,30,40,60
lycanroc-dusk,75,117,65,55,65,110
araquanid-totem,68,70,92,50,132,42
togedemaru-totem,65,98,63,40,73,96
necrozma-dusk,97,157,127,113,109,77
necrozma-dawn,97,113,109,157,127,77
necrozma-ultra,97,167,97,167,97,129
pikachu-starter,45,80,50,75,60,120
eevee-starter,65,75,70,65,85,75
pikachu-world-cap,35,55,40,50,50,90
meowth-galar,50,65,55,40,40,40
ponyta-galar,50,85,55,65,65,90
rapidash-galar,65,100,70,80,80,105
slowpoke-galar,90,65,65,40,40,15
slowbro-galar,95,100,95,100,70,30
farfetchd-galar,52,95,55,58,62,55
weezing-galar,65,90,120,85,70,60
mr-mime-galar,50,65,65,90,90,100
articuno-galar,90,85,85,125,100,95
zapdos-galar,90,125,90,85,90,100
moltres-galar,90,85,90,100,125,90
slowking-galar,95,65,80,110,110,30
corsola-galar,60,55,100,65,100,30
zigzagoon-galar,38,30,41,30,41,60
linoone-galar,78,70,61,50,61,100
darumaka-galar,70,90,45,15,45,50
darmanitan-galar-standard,105,140,55,30,55,95
darmanitan-galar-zen,105,160,55,30,55,135
yamask-galar,38,55,85,30,65,30
stunfisk-galar,109,81,99,66,84,32
zygarde-10,54,100,71,61,85,115
cramorant-gulping,70,85,55,85,95,85
cramorant-gorging,70,85,55,85,95,85
toxtricity-low-key,75,98,70,114,70,75
eiscue-noice,75,80,70,65,50,130
indeedee-female,70,55,65,95,105,85
morpeko-hangry,58,95,58,70,58,97
zacian-crowned,92,150,115,80,115,148
zamazenta-crowned,92,120,140,80,140,128
eternatus-eternamax,255,115,250,125,250,130
urshifu-rapid-strike,100,130,100,63,60,97
zarude-dada,105,120,105,70,95,105
calyrex-ice,100,165,150,85,130,50
calyrex-shadow,100,85,80,165,100,150
venusaur-gmax,80,82,83,100,100,80
charizard-gmax,78,84,78,109,85,100
blastoise-gmax,79,83,100,85,105,78
butterfree-gmax,60,45,50,90,80,70
pikachu-gmax,35,55,40,50,50,90
meowth-gmax,40,45,35,40,40,90
machamp-gmax,90,130,80,65,85,55
gengar-gmax,60,65,60,130,75,110
kingler-gmax,55,130,115,50,50,75
lapras-gmax,130,85,80,85,95,60
eevee-gmax,55,55,50,45,65,55
snorlax-gmax,160,110,65,65,110,30
garbodor-gmax,80,95,82,60,82,75
melmetal-gmax,135,143,143,80,65,34
rillaboom-gmax,100,125,90,60,70,85
cinderace-gmax,80,116,75,65,75,119
inteleon-gmax,70,85,65,125,65,120
corviknight-gmax,98,87,105,53,85,67
orbeetle-gmax,60,45,110,80,120,90
drednaw-gmax,90,115,90,48,68,74
coalossal-gmax,110,80,120,80,90,30
flapple-gmax,70,110,80,95,60,70
appletun-gmax,110,85,80,100,80,30
sandaconda-gmax,72,107,125,65,70,71
toxtricity-amped-gmax,75,98,70,114,70,75
centiskorch-gmax,100,115,65,90,90,65
hatterene-gmax,57,90,95,136,103,29
grimmsnarl-gmax,95,120,65,95,75,60
alcremie-gmax,65,60,75,110,121,64
copperajah-gmax,122,130,69,80,69,30
duraludon-gmax,70,95,115,120,50,85
urshifu-single-strike-gmax,100,130,100,63,60,97
urshifu-rapid-strike-gmax,100,130,100,63,60,97
toxtricity-low-key-gmax,75,98,70,114,70,75
growlithe-hisui,60,75,45,65,50,55
arcanine-hisui,95,115,80,95,80,90
voltorb-hisui,40,30,50,55,55,100
electrode-hisui,60,50,70,80,80,150
typhlosion-hisui,73,84,78,119,85,95
qwilfish-hisui,65,95,85,55,55,85
sneasel-hisui,55,95,55,35,75,115
samurott-hisui,90,108,80,100,65,85
lilligant-hisui,70,105,75,50,75,105
zorua-hisui,35,60,40,85,40,70
zoroark-hisui,55,100,60,125,60,110
braviary-hisui,110,83,70,112,70,65
sliggoo-hisui,58,75,83,83,113,40
goodra-hisui,80,100,100,110,150,60
avalugg-hisui,95,127,184,34,36,38
decidueye-hisui,88,112,80,95,95,60
dialga-origin,100,100,120,150,120,90
palkia-origin,90,100,100,150,120,120
basculin-white-striped,70,92,65,80,55,98
basculegion-female,120,92,65,100,75,78
enamorus-therian,74,115,110,135,100,46
tauros-paldea-combat-breed,75,110,105,30,70,100
tauros-paldea-blaze-breed,75,110,105,30,70,100
tauros-paldea-aqua-breed,75,110,105,30,70,100
wooper-paldea,55,45,45,25,25,15
oinkologne-female,115,90,70,59,90,65
dudunsparce-three-segment,125,100,80,85,75,55
palafin-hero,100,160,97,106,87,100
maushold-family-of-three,74,75,70,65,75,111
tatsugiri-droopy,68,50,60,120,95,82
tatsugiri-stretchy,68,50,60,120,95,82
squawkabilly-blue-plumage,82,96,51,45,51,92
squawkabilly-yellow-plumage,82,96,51,45,51,92
squawkabilly-white-plumage,82,96,51,45,51,92
gimmighoul-roaming,45,30,25,75,45,80
koraidon-limited-build,100,135,115,85,100,135
koraidon-sprinting-build,100,135,115,85,100,135
koraidon-swimming-build,100,135,115,85,100,135
koraidon-gliding-build,100,135,115,85,100,135
miraidon-low-power-mode,100,85,100,135,115,135
miraidon-drive-mode,100,85,100,135,115,135
miraidon-aquatic-mode,100,85,100,135,115,135
miraidon-glide-mode,100,85,100,135,115,135
ursaluna-bloodmoon,113,70,120,135,65,52
ogerpon-wellspring-mask,80,120,84,60,96,110
ogerpon-hearthflame-mask,80,120,84,60,96,110
ogerpon-cornerstone-mask,80,120,84,60,96,110
terapagos-terastal,95,95,110,105,110,85
terapagos-stellar,95,95,110,105,110,85
