,Breed,Age (Years),Weight (kg),Color,Gender,ID
636,Exotic Shorthair,13,6,Tortoiseshell,Female,356
637,Exotic Shorthair,17,9,Calico,Male,296
638,Tonkinese,8,3,Brown,Male,695
639,Cornish Rex,13,3,White,Female,303
640,Turkish Angora,4,6,Calico,Male,803
641,Chartreux,18,3,Cream,Female,624
642,Scottish Fold,5,7,Red,Female,751
643,American Shorthair,6,8,Pointed,Male,871
644,Egyptian Mau,8,2,Brown,Male,892
645,Egyptian Mau,17,3,Calico,Male,660
646,Oriental,11,5,Cream,Male,920
647,Bengal,12,2,Tricolor,Male,73
648,Ragdoll,19,3,Gray,Female,268
649,Chartreux,8,5,Gray,Female,466
650,Singapura,11,8,Blue,Female,842
651,Balinese,8,9,Gray,Male,554
652,Sphynx,7,4,Red,Female,782
653,Tonkinese,6,5,Brown,Female,373
654,Cornish Rex,13,6,Cream,Female,477
655,Siberian,6,5,Tricolor,Female,192
656,Himalayan,16,9,Gray,Male,673
657,Sphynx,16,4,Black,Female,759
658,Scottish Fold,16,3,Orange,Male,480
659,Singapura,1,6,Cream,Male,595
660,Himalayan,11,3,Sable,Male,460
661,Ragdoll,18,7,Red,Male,104
662,Exotic Shorthair,11,2,Black,Female,443
663,Birman,13,3,Bicolor,Female,276
664,Singapura,2,4,Tricolor,Female,589
665,Abyssinian,6,3,White,Male,724
666,Balinese,17,4,Tortoiseshell,Male,294
667,American Shorthair,9,9,Sable,Female,307
668,Singapura,4,8,Orange,Female,810
669,Ocicat,6,9,Orange,Male,781
670,Chartreux,14,4,Bicolor,Female,364
671,Persian,10,7,Gray,Male,609
672,Balinese,14,4,Orange,Female,434
673,Sphynx,1,7,Calico,Female,615
674,Balinese,18,2,Orange,Male,55
675,Siberian,13,3,Sable,Male,455
676,Persian,18,6,White,Male,446
677,Savannah,3,3,White,Female,191
678,Siberian,15,5,Pointed,Female,213
679,Persian,3,6,Blue,Female,864
680,Abyssinian,2,7,Cream,Female,949
681,Burmese,10,3,Red,Female,594
682,Savannah,11,9,Brown,Female,250
683,Munchkin,12,8,Bicolor,Female,225
684,Persian,1,5,Orange,Female,327
685,Himalayan,16,9,Orange,Male,71
686,Munchkin,11,4,Bicolor,Male,773
687,Ragdoll,10,8,Tabby,Male,4
688,Birman,2,2,Bicolor,Female,646
689,Persian,19,2,Tricolor,Female,397
690,Devon Rex,12,4,Blue,Male,131
691,Himalayan,13,5,Blue,Male,420
692,Egyptian Mau,1,7,Gray,Female,45
693,Abyssinian,15,5,Red,Male,882
694,Exotic Shorthair,17,7,Blue,Female,316
695,Bengal,15,6,Tricolor,Male,596
696,Savannah,12,8,Black,Male,216
697,Persian,16,2,Calico,Male,274
698,Russian Blue,2,6,Gray,Male,885
699,American Shorthair,8,3,Tortoiseshell,Female,998
700,Ragdoll,16,5,Red,Female,690
701,Bengal,10,8,Pointed,Female,607
702,Sphynx,9,6,Tricolor,Female,832
703,Russian Blue,10,7,Black,Male,17
704,Turkish Angora,10,4,Tabby,Female,222
705,Ocicat,8,7,Orange,Male,340
706,Manx,5,8,Brown,Male,869
707,Egyptian Mau,12,2,Tricolor,Female,793
708,Devon Rex,16,3,Bicolor,Male,889
709,Russian Blue,3,7,Red,Male,492
710,Sphynx,5,5,Calico,Male,633
711,Maine Coon,12,6,White,Male,323
712,Chartreux,3,3,Brown,Female,2
713,Oriental,14,7,Sable,Male,491
714,Siamese,6,7,Tabby,Female,150
715,Munchkin,6,6,Pointed,Male,777
716,Russian Blue,12,5,Calico,Female,982
717,Siamese,11,3,Tricolor,Female,675
718,Bengal,9,6,Tricolor,Female,552
719,Tonkinese,13,2,Pointed,Female,620
720,Singapura,3,5,Bicolor,Female,306
721,Chartreux,4,5,Tabby,Male,450
722,Scottish Fold,18,2,Sable,Female,811
723,Maine Coon,10,3,Brown,Female,726
724,Himalayan,6,9,Sable,Female,120
725,Balinese,11,8,Calico,Male,943
726,Ragdoll,3,8,Red,Male,309
727,American Shorthair,4,2,Black,Male,465
728,Devon Rex,4,3,Calico,Male,556
729,British Shorthair,3,3,Orange,Male,915
730,Ragdoll,18,3,Cream,Male,40
731,Bengal,15,3,Tortoiseshell,Female,681
732,Tonkinese,16,9,Pointed,Female,959
733,Singapura,8,9,Orange,Female,937
734,Devon Rex,14,2,Calico,Male,913
735,Maine Coon,5,6,Tricolor,Male,19
736,Persian,12,6,Red,Male,176
737,Turkish Angora,12,8,Cream,Male,870
738,Maine Coon,5,9,Sable,Female,662
739,Singapura,7,5,White,Female,708
740,Singapura,5,6,Black,Female,608
741,Siberian,15,6,Tabby,Female,978
742,Savannah,8,3,White,Male,471
743,Exotic Shorthair,11,5,Tricolor,Male,229
744,Chartreux,13,3,Calico,Male,539
745,Oriental,15,3,Tricolor,Male,636
746,Manx,1,4,Blue,Male,27
747,American Shorthair,16,5,Bicolor,Male,435
748,Siamese,6,8,Orange,Male,366
749,Russian Blue,9,3,Black,Male,362
750,Exotic Shorthair,19,3,Cream,Male,220
751,Abyssinian,12,3,Tabby,Male,7
752,American Shorthair,16,4,Tricolor,Male,908
753,Singapura,2,8,Blue,Male,113
754,Ocicat,5,6,Pointed,Female,672
755,Persian,6,9,Gray,Male,592
756,Norwegian Forest,5,9,Sable,Female,36
757,Bengal,15,5,Tricolor,Female,401
758,Siamese,10,9,Blue,Male,914
759,Ragdoll,16,9,Red,Female,899
760,Oriental,13,3,Tabby,Female,245
761,Siberian,1,9,Orange,Female,476
762,Norwegian Forest,1,5,Tricolor,Female,252
763,Chartreux,1,2,Cream,Male,221
764,Munchkin,2,6,Blue,Female,433
765,Exotic Shorthair,4,2,Gray,Male,859
766,Tonkinese,7,3,Tortoiseshell,Male,696
767,Bengal,19,6,Red,Male,683
768,Russian Blue,16,2,White,Male,257
769,Ocicat,6,9,Tricolor,Male,569
770,Norwegian Forest,14,9,Cream,Male,576
771,Ragdoll,4,7,Bicolor,Male,404
772,Chartreux,18,8,Blue,Female,788
773,British Shorthair,15,2,Tortoiseshell,Male,808
774,Munchkin,2,7,Blue,Male,61
775,Savannah,16,7,Gray,Male,58
776,Russian Blue,1,7,Brown,Female,266
777,Maine Coon,8,7,Tricolor,Female,79
778,Singapura,5,7,Black,Female,396
779,British Shorthair,6,4,Cream,Male,972
780,Manx,19,4,Orange,Female,827
781,Exotic Shorthair,17,2,White,Male,44
782,Burmese,18,2,Cream,Female,402
783,Scottish Fold,13,2,White,Female,950
784,Devon Rex,8,4,Tricolor,Male,218
785,Egyptian Mau,4,8,White,Female,612
786,Tonkinese,9,8,Calico,Male,248
787,Ragdoll,8,3,Bicolor,Female,883
788,Bengal,14,4,Calico,Male,129
789,Birman,5,8,Tricolor,Female,406
790,Persian,16,3,Tabby,Male,960
791,Singapura,14,4,Tricolor,Female,700
792,Birman,15,5,Cream,Male,108
793,Egyptian Mau,8,7,Gray,Male,631
794,Manx,19,2,Red,Male,387
795,Birman,17,4,Tabby,Female,930
796,Ocicat,14,8,Cream,Male,653
797,Siberian,4,6,Black,Male,313
798,Egyptian Mau,14,8,Sable,Male,749
799,Maine Coon,3,2,Brown,Male,848
800,Burmese,2,4,Tricolor,Female,243
801,Himalayan,15,6,Calico,Male,684
802,Munchkin,6,8,Bicolor,Male,211
803,Birman,11,5,Black,Male,169
804,Persian,4,3,Bicolor,Male,49
805,Cornish Rex,17,3,Cream,Male,911
806,Exotic Shorthair,7,9,Brown,Female,187
807,Devon Rex,1,3,Orange,Male,33
808,American Shorthair,6,9,Pointed,Male,729
809,Cornish Rex,13,6,Pointed,Male,13
810,British Shorthair,4,4,Blue,Female,967
811,Ragdoll,16,2,Tortoiseshell,Male,304
812,Egyptian Mau,2,9,Gray,Male,405
813,Exotic Shorthair,8,9,Calico,Male,740
814,Ocicat,18,9,Gray,Female,410
815,Turkish Angora,6,6,Tortoiseshell,Male,459
816,Egyptian Mau,8,5,Red,Female,538
817,Balinese,10,4,Orange,Female,912
818,Abyssinian,15,8,Sable,Female,851
819,Persian,17,5,White,Male,63
820,Ocicat,8,7,Blue,Female,368
821,Munchkin,7,8,Red,Female,392
822,Maine Coon,8,4,Tabby,Male,757
823,Scottish Fold,19,5,Black,Female,711
824,Maine Coon,7,8,Blue,Female,742
825,Siberian,8,6,Brown,Female,817
826,Devon Rex,5,3,Cream,Male,173
827,Singapura,5,9,Sable,Male,833
828,Oriental,10,5,Tricolor,Male,916
829,Persian,13,6,Sable,Female,233
830,Cornish Rex,9,2,Tricolor,Female,114
831,Ragdoll,10,5,Orange,Female,338
832,Ragdoll,18,4,Tabby,Female,577
833,Egyptian Mau,19,4,Orange,Male,647
834,Munchkin,19,4,Black,Male,706
835,Ragdoll,4,8,Orange,Male,264
836,Savannah,18,6,Tortoiseshell,Female,974
837,Bengal,17,9,White,Female,588
838,Russian Blue,1,2,Gray,Male,363
839,British Shorthair,11,2,Bicolor,Female,996
840,Balinese,4,4,Pointed,Female,403
841,Ragdoll,1,3,Calico,Female,487
842,British Shorthair,1,6,Tricolor,Female,720
843,Scottish Fold,11,7,Brown,Male,902
844,Birman,9,9,Sable,Male,247
845,Munchkin,9,8,Sable,Male,606
846,Chartreux,18,3,Gray,Male,385
847,Munchkin,2,5,Orange,Male,183
848,Balinese,9,4,Blue,Female,621
849,Siberian,18,5,Pointed,Male,499
850,Himalayan,4,6,Sable,Female,394
851,Birman,4,2,Sable,Male,945
852,Bengal,1,3,Orange,Female,881
853,Sphynx,9,5,Cream,Male,807
854,Siamese,4,4,Gray,Female,320
855,Exotic Shorthair,13,7,Black,Female,736
856,Singapura,1,7,Red,Female,895
857,Scottish Fold,11,8,Gray,Male,142
858,Savannah,4,7,Black,Male,210
859,Cornish Rex,18,5,Bicolor,Female,844
860,Turkish Angora,18,8,Gray,Male,293
861,British Shorthair,14,7,Tortoiseshell,Female,775
862,Siamese,5,9,Brown,Female,62
863,British Shorthair,17,2,Cream,Female,572
864,Sphynx,8,8,Calico,Male,67
865,Ocicat,17,2,Gray,Male,483
866,Turkish Angora,13,2,Calico,Female,830
867,Burmese,8,3,Brown,Male,845
868,Birman,1,6,Bicolor,Male,603
869,Ocicat,12,7,Sable,Female,236
870,Maine Coon,8,6,Tabby,Female,990
871,Egyptian Mau,10,3,Pointed,Male,957
872,Ragdoll,10,5,Black,Male,261
873,Norwegian Forest,17,3,Cream,Male,448
874,Russian Blue,18,2,Sable,Female,860
875,Devon Rex,8,9,Pointed,Male,193
876,Ragdoll,4,9,White,Male,763
877,Cornish Rex,17,2,Sable,Female,654
878,Russian Blue,17,7,Cream,Male,94
879,Turkish Angora,18,7,Pointed,Male,739
880,Balinese,15,8,Red,Female,771
881,Exotic Shorthair,12,6,Bicolor,Female,270
882,Bengal,2,5,Tortoiseshell,Male,427
883,Siberian,12,8,Gray,Male,888
884,Oriental,17,6,Blue,Male,979
885,Siberian,10,8,Black,Female,215
886,Himalayan,5,9,Cream,Female,581
887,Oriental,4,9,Gray,Female,382
888,Norwegian Forest,10,2,Cream,Female,102
889,Manx,7,6,Sable,Male,95
890,Birman,4,9,Tricolor,Male,642
891,Birman,19,7,Pointed,Female,442
892,Siberian,15,7,Red,Female,677
893,Devon Rex,18,8,Bicolor,Male,906
894,British Shorthair,6,2,Red,Male,963
895,Himalayan,9,3,Red,Female,355
896,Turkish Angora,13,8,Gray,Male,897
897,Balinese,2,5,Pointed,Male,513
898,Turkish Angora,1,9,Cream,Male,384
899,Turkish Angora,1,2,Blue,Female,431
900,Bengal,18,2,Orange,Male,165
901,British Shorthair,8,3,Black,Male,702
902,American Shorthair,6,3,Bicolor,Male,580
903,Persian,6,2,Sable,Male,38
904,Chartreux,10,8,Gray,Male,295
905,Ragdoll,17,7,Black,Male,123
906,Oriental,4,7,Sable,Male,927
907,Munchkin,18,2,Red,Female,604
908,Persian,5,4,Cream,Female,710
909,Ragdoll,11,7,Brown,Male,791
910,Ocicat,13,6,Bicolor,Female,812
911,Norwegian Forest,13,4,Sable,Female,284
912,Tonkinese,1,9,Cream,Female,269
913,Siberian,3,8,Black,Female,418
914,Birman,16,6,White,Female,285
915,Siberian,17,2,Calico,Male,28
916,Ragdoll,6,9,Bicolor,Female,509
917,Siberian,16,8,Bicolor,Female,136
918,Burmese,7,6,Brown,Female,948
919,Siberian,6,3,Orange,Female,787
920,Manx,6,6,Calico,Female,149
921,Burmese,6,6,Bicolor,Female,756
922,Abyssinian,4,9,Blue,Female,48
923,Maine Coon,1,9,Sable,Male,985
924,British Shorthair,13,2,Tortoiseshell,Male,648
925,Siberian,12,6,Orange,Male,783
926,Devon Rex,14,8,Pointed,Female,517
927,Norwegian Forest,5,6,Tabby,Male,37
928,Oriental,13,9,Bicolor,Female,879
929,Egyptian Mau,17,8,Calico,Female,656
930,Bengal,12,3,Black,Female,234
931,Abyssinian,8,6,Blue,Female,512
932,Siberian,5,8,Gray,Female,890
933,Maine Coon,15,2,Sable,Male,806
934,Burmese,11,7,Sable,Female,260
935,Oriental,1,2,White,Male,310
936,Egyptian Mau,4,4,Tricolor,Male,196
937,Siamese,15,3,Black,Male,776
938,Sphynx,16,5,Pointed,Male,886
939,Manx,5,5,Pointed,Male,428
940,American Shorthair,1,8,Tricolor,Male,88
941,Devon Rex,18,8,White,Male,563
942,Himalayan,13,9,Cream,Male,835
943,Ocicat,4,4,Red,Female,152
944,Siberian,6,3,Gray,Female,116
945,Siamese,12,9,Red,Female,130
946,Turkish Angora,14,3,Brown,Male,161
947,Sphynx,12,6,Tricolor,Female,361
948,Himalayan,6,8,Brown,Female,127
949,Ragdoll,11,8,Gray,Male,938
950,Burmese,2,7,Tricolor,Male,505
951,Ragdoll,15,4,Red,Female,674
952,Savannah,15,7,Brown,Female,280
953,Siberian,7,5,Gray,Male,185
954,Egyptian Mau,16,6,White,Male,46
955,Balinese,12,5,Tabby,Female,201
956,Turkish Angora,7,7,Sable,Male,205
957,Devon Rex,9,9,Red,Male,484
958,Ocicat,11,7,Sable,Male,964
959,Turkish Angora,19,8,Gray,Male,875
960,Siamese,5,2,Brown,Female,148
961,British Shorthair,5,7,Orange,Male,375
962,Abyssinian,6,4,Black,Male,622
963,Birman,2,4,Gray,Male,498
964,Ocicat,10,5,Tricolor,Male,733
965,Siamese,15,9,Pointed,Female,190
966,Chartreux,10,9,Orange,Male,717
967,Exotic Shorthair,5,7,Red,Male,204
968,Bengal,18,7,Brown,Male,926
969,Persian,15,7,Pointed,Female,126
970,Devon Rex,16,3,Pointed,Male,119
971,Singapura,1,9,Calico,Male,694
972,Oriental,13,4,Tabby,Female,391
973,Norwegian Forest,4,7,Cream,Male,506
974,Siamese,17,7,Tricolor,Female,188
975,Ragdoll,4,7,Tabby,Female,202
976,Devon Rex,5,7,Tortoiseshell,Female,502
977,Scottish Fold,19,8,Tricolor,Male,278
978,Siberian,13,5,Sable,Male,209
979,Maine Coon,6,6,Cream,Female,255
980,Persian,4,9,Calico,Female,976
981,Savannah,19,7,Gray,Male,643
982,Singapura,7,2,Bicolor,Female,439
983,American Shorthair,17,4,Red,Male,354
984,Munchkin,11,6,Blue,Female,778
985,Munchkin,12,5,Brown,Male,952
986,Munchkin,8,5,Sable,Female,764
987,Siamese,8,7,Pointed,Female,652
988,Siberian,14,7,Bicolor,Male,958
989,Birman,17,7,Pointed,Female,29
990,Siberian,15,8,Calico,Female,713
991,Persian,17,5,Pointed,Male,389
992,Oriental,18,8,Tortoiseshell,Female,122
993,Devon Rex,3,3,Cream,Male,752
994,Persian,19,7,Sable,Male,934
995,Abyssinian,18,3,Black,Female,347
996,Burmese,4,5,Pointed,Female,339
997,Persian,19,9,Cream,Male,659
998,Persian,17,3,Bicolor,Female,124
999,Manx,18,8,Black,Male,226
